 #apbc
 #BFSS matrix model
 #gauged theory
 #full theory
 #naive lattice action
 #size of the gauge group: nmat=           3
 #size of the lattice: Nt=          16
 #Temperature=  0.10000000000000001     
 #g_alpha=   10000.000000000000     
 #g_R=   100.00000000000000     
 #RCUT=   4.2999999999999998     
 #(TrX^2 is constrained so that TrX^2 < RCUT)
 #ntau=           8
 #nratio=           3
 #dtau for xmat=   4.0000000000000001E-002
 #dtau for alpha=   4.0000000000000001E-002
 #CG stopping condition: relative error=   1.0000000000000000E-010
 #CG stopping condition: maximum CG iteration=        1000
 #upper limit of remez approximation (Largest eigenvalue of D^dag*D must be smaller than this):   1000.0000000000000     
 #init=           1
 #(init; 0 -> old config, 1 -> new config, 2-> fuzzy sphere)
 #imetropolis=           0
 #(imetropolis=1 -> no Metropolis test,just for thermalization)
 #output configuration:conN4S4T20M10_apbc_1.dat                                                                            
 #iaccelerate=           1
 #(iaccelerate; 0 -> read from acc_input, 1-> naive)
 #Fourier acceleration file obtained from this run:acc_N4S4T20M10_apbc_1.dat                                                                           
 #log of the CG solver is saved in:CG_N4S4T20M10_apbc_1.dat                                                                            
 # traj,ham_fin-ham_init, number of constraint violation,number of CG-err,CG-iteration,energy, |Pol.|, trX^2, tr[X,Y]^2,acceptance
 #-----------------------------------------------
       1       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
       2       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
       3      14.0560836      13.8767414      13.7884699      13.7496085      13.6913224      13.6710807      13.6852827      13.6794542
       4       9.0546753       8.7741285       8.6066113       8.5109586       8.4446307       8.4318010       8.4602145       8.4536730
       5      36.2890880      35.8119490      35.5731044      35.5935704      35.5540161      35.5461997      35.7540255      35.8174345
       6      40.9043528      40.0925132      39.7256253      39.3779343      38.9331215      38.3700004      38.0113002      38.0070791
       7      43.7921717      42.8450295      42.2911486      41.8609586      41.4152771      40.8210593      40.2804344      40.1178555
       8      47.3650605      46.0664299      45.4749634      45.0445658      44.4674412      43.5984130      42.8627466      42.6319794
       9      47.3650605      46.0664299      45.4749634      45.0445658      44.4674412      43.5984130      42.8627466      42.6319794
      10      40.7695795      39.5127326      38.6252016      37.5517769      36.4925459      35.3030339      34.3880986      34.1683496
      11      40.7695795      39.5127326      38.6252016      37.5517769      36.4925459      35.3030339      34.3880986      34.1683496
      12      37.1708057      35.9119446      35.1747354      34.1509351      32.9838188      31.9942993      31.3410770      31.1574734
      13      34.6299237      33.3102276      32.1358483      30.7519252      29.6695968      28.8964215      28.2633309      28.2293390
      14      37.2309107      36.0823605      34.9613645      34.0794651      33.4139856      33.0356960      32.4414717      32.4129983
      15      32.6717759      31.6309851      30.4464237      29.2911461      28.3557288      27.6204524      26.9754642      26.7197957
      16      38.0338791      36.8627769      35.4783743      34.2798367      33.2836432      32.6283718      32.0471952      31.7677041
      17      40.0006298      38.5460837      37.0621356      35.8645619      35.2712657      34.4757507      33.7357426      33.2753093
      18      40.0006298      38.5460837      37.0621356      35.8645619      35.2712657      34.4757507      33.7357426      33.2753093
      19      41.2584051      40.0315887      38.6203107      37.4224737      36.6894276      36.0128572      35.2601461      34.5471965
      20      41.2584051      40.0315887      38.6203107      37.4224737      36.6894276      36.0128572      35.2601461      34.5471965
      21      41.2584051      40.0315887      38.6203107      37.4224737      36.6894276      36.0128572      35.2601461      34.5471965
      22      41.2584051      40.0315887      38.6203107      37.4224737      36.6894276      36.0128572      35.2601461      34.5471965
      23      41.2584051      40.0315887      38.6203107      37.4224737      36.6894276      36.0128572      35.2601461      34.5471965
      24      41.2584051      40.0315887      38.6203107      37.4224737      36.6894276      36.0128572      35.2601461      34.5471965
      25      40.3136189      38.7162024      37.2181569      35.6973480      35.2296728      34.6763661      33.8110451      33.2689076
      26      40.3136189      38.7162024      37.2181569      35.6973480      35.2296728      34.6763661      33.8110451      33.2689076
      27      38.7819101      37.1858909      36.4381862      35.4272602      35.0763845      34.6222440      33.5369657      32.9219340
      28      40.5279236      38.3659768      37.4977607      36.5032741      36.0822993      35.7794995      35.2436980      35.2689789
      29      40.5279236      38.3659768      37.4977607      36.5032741      36.0822993      35.7794995      35.2436980      35.2689789
      30      37.4575421      35.5110857      34.8604255      33.8187876      32.8926317      32.0252729      31.1267572      30.9004261
      31      40.7367070      39.2930988      38.5205893      37.6717608      37.1248205      36.8250648      36.3745959      36.6354340
      32      38.8030096      37.3475514      36.9301376      36.3525887      36.0892431      36.2300262      36.6229538      37.1214979
      33      36.9521948      34.7411786      33.7569299      32.3503687      32.1587835      33.0601650      33.9250439      34.5654023
      34      37.9228475      35.9775204      35.4306649      34.1250380      34.1494501      35.4325914      36.2648377      36.5433517
      35      37.9228475      35.9775204      35.4306649      34.1250380      34.1494501      35.4325914      36.2648377      36.5433517
      36      37.9228475      35.9775204      35.4306649      34.1250380      34.1494501      35.4325914      36.2648377      36.5433517
      37      37.9228475      35.9775204      35.4306649      34.1250380      34.1494501      35.4325914      36.2648377      36.5433517
      38      41.8531582      39.6871254      38.8763994      37.3545741      37.3975331      38.9777414      40.0126954      40.2561820
      39      41.8531582      39.6871254      38.8763994      37.3545741      37.3975331      38.9777414      40.0126954      40.2561820
      40      41.8531582      39.6871254      38.8763994      37.3545741      37.3975331      38.9777414      40.0126954      40.2561820
      41      39.1698954      37.8267875      37.7895570      36.5285580      36.2196525      37.3421913      37.6747097      37.5555305
      42      39.1698954      37.8267875      37.7895570      36.5285580      36.2196525      37.3421913      37.6747097      37.5555305
