 #apbc
 #BFSS matrix model
 #gauged theory
 #pure bosonic theory
 #naive lattice action
 #size of the gauge group: nmat=           3
 #size of the lattice: Nt=          32
 #Temperature=  0.12000000000000000     
 #g_alpha=   10000.000000000000     
 #g_R=   100.00000000000000     
 #RCUT=   4.2999999999999998     
 #(TrX^2 is constrained so that TrX^2 < RCUT)
 #ntau=           8
 #nratio=           3
 #dtau for xmat=   4.0000000000000001E-002
 #dtau for alpha=   4.0000000000000001E-002
 #CG stopping condition: relative error=   1.0000000000000000E-010
 #CG stopping condition: maximum CG iteration=        1000
 #upper limit of remez approximation (Largest eigenvalue of D^dag*D must be smaller than this):   1000.0000000000000     
 #init=           1
 #(init; 0 -> old config, 1 -> new config, 2-> fuzzy sphere)
 #imetropolis=           0
 #(imetropolis=1 -> no Metropolis test,just for thermalization)
 #output configuration:conN4S4T20M10_apbc_1.dat                                                                            
 #iaccelerate=           1
 #(iaccelerate; 0 -> read from acc_input, 1-> naive)
 #Fourier acceleration file obtained from this run:acc_N4S4T20M10_apbc_1.dat                                                                           
 #log of the CG solver is saved in:CG_N4S4T20M10_apbc_1.dat                                                                            
 # traj,ham_fin-ham_init, number of constraint violation,number of CG-err,CG-iteration,energy, |Pol.|, trX^2, tr[X,Y]^2,acceptance
 #-----------------------------------------------
      22       5.8536567       5.4376797       5.0597901       4.8570989       4.7942065       4.7609366       4.8270913       4.8764963       4.9330754       4.9392491       4.9501284       5.0549484       5.0407937       4.9921332       4.9395882       4.9333849
      23       6.3644995       5.9773491       5.7165375       5.5712481       5.6316719       5.6851046       5.7078577       5.6936745       5.7284292       5.6744966       5.6196996       5.7084365       5.7205221       5.7437821       5.7516156       5.7688554
      24       6.5151648       6.1167854       5.8110441       5.5992044       5.5990410       5.5850478       5.6200500       5.6558025       5.7120945       5.6765715       5.6653036       5.7508109       5.7598303       5.8006954       5.8196702       5.8690355
      25       7.8212656       7.3265528       6.9659950       6.7013513       6.6501222       6.5841821       6.6118154       6.7371863       6.8127640       6.7165529       6.6419693       6.6920840       6.7493375       6.8526360       6.8786727       6.9021337
      26       6.7472095       6.2809089       5.9746450       5.7221867       5.6673457       5.6627699       5.7869799       5.9459831       5.9984205       5.9268937       5.8563458       5.8623909       5.8892576       5.9629634       5.9706530       5.9998092
      27       6.5379645       6.0610607       5.7667256       5.6118190       5.5623781       5.5108536       5.5698243       5.7168444       5.7477092       5.7025604       5.6926242       5.7475168       5.7879896       5.8256360       5.8211346       5.8792037
      28       6.6896311       6.1975403       5.8849241       5.7864937       5.7875732       5.7830747       5.9035361       6.0597171       6.0872488       6.0461619       5.9752854       5.9289245       5.9401599       5.9710610       5.9991891       6.0540893
      29       6.8886323       6.3824420       6.0882031       5.9805273       6.0030736       5.9932488       6.0929808       6.2758146       6.2925300       6.2577226       6.1744981       6.1637088       6.2133670       6.2410518       6.2240957       6.2290660
      30       7.5606739       6.9829395       6.6130135       6.4015034       6.3858346       6.3820325       6.4746715       6.6682431       6.6994232       6.7041195       6.6851730       6.6941241       6.6898146       6.6976873       6.6873357       6.6706150
      31       6.6195044       6.1118895       5.8021302       5.5841949       5.6443354       5.6532171       5.7517502       5.8645725       5.8288589       5.8468700       5.7820187       5.7508393       5.8080672       5.8957793       5.8881703       5.8554506
      32       6.7531607       6.1997337       5.8174007       5.5880571       5.5893656       5.6085703       5.6802929       5.7685321       5.8237309       5.9078902       5.9122244       5.9267236       5.9157733       5.9297339       5.9474437       5.9523749
      33       7.2166079       6.5624522       6.1059826       5.8758137       5.8776187       5.9164327       6.0319769       6.2179748       6.2899055       6.2925649       6.2489122       6.2075816       6.2110589       6.2667899       6.3199713       6.3311570
      34       6.7323947       6.2125473       5.8899772       5.6966557       5.8167588       5.9227901       5.9911842       6.0892421       6.0433051       6.0313480       5.9274674       5.8372863       5.8181738       5.8701251       5.9547494       5.9784614
      35       6.6812807       6.1827389       5.8664184       5.6377949       5.6647223       5.7086225       5.8403995       5.9995863       5.9270172       5.9317411       5.9374416       5.8891800       5.9082817       5.9690510       6.0422059       6.0649104
      36       7.5188969       6.9310761       6.6175236       6.3984099       6.3865655       6.4869649       6.6172287       6.7690489       6.7014346       6.6708865       6.6168103       6.5765267       6.6313509       6.7468810       6.8281536       6.8445485
      37       7.2955154       6.7364941       6.3917534       6.1211052       6.0883249       6.1015800       6.1401066       6.2150139       6.2326649       6.2597712       6.1896943       6.1459329       6.2043002       6.3638057       6.4440105       6.4811709
      38       7.9811060       7.3811717       7.0988907       6.9188302       6.9088687       6.9700959       7.0555208       7.0701129       7.1040636       7.0441722       6.9249295       6.7960462       6.7578178       6.8905171       6.9145552       6.9346579
      39       7.5527223       7.0678687       6.6713141       6.3048590       6.2742281       6.2634312       6.3145072       6.3603905       6.4559956       6.4839745       6.4484997       6.4238038       6.4007812       6.4177926       6.3520537       6.3522520
      40       7.1782711       6.7125211       6.3955494       6.1228121       6.1056408       6.1013369       6.0621375       5.9801332       5.9934560       6.0566611       6.1123010       6.1578840       6.1693009       6.1574399       6.0278207       5.9872023
      41       7.1835803       6.8430848       6.6482251       6.3999517       6.3578494       6.3370769       6.3091522       6.2285173       6.2250960       6.2961595       6.2746503       6.3342931       6.3406920       6.3120443       6.2278657       6.2135777
      42       6.4917444       6.1982297       5.9855816       5.7094643       5.7213723       5.7134652       5.7190640       5.7097776       5.6910447       5.7166449       5.7182897       5.7396354       5.7693198       5.7404419       5.6603088       5.6721934
      43       6.7673357       6.4974674       6.2423326       6.0330672       6.0836873       6.0801112       6.1161979       6.1699010       6.1175991       6.1404427       6.1458528       6.1368754       6.2660720       6.1995778       6.2346495       6.2564643
      44       6.8080650       6.4606313       6.2046356       6.0478530       6.1179056       6.0872963       6.1547519       6.2160903       6.1621310       6.0643153       5.9334957       5.8982963       6.0287789       6.1265481       6.2290037       6.2576775
      45       7.2827796       6.8999512       6.5969573       6.4251686       6.4551466       6.4655084       6.5301216       6.6317270       6.6601324       6.5669583       6.4570318       6.3434442       6.4137893       6.4354937       6.5363154       6.5754541
      46       7.5453272       7.1087393       6.7344834       6.5927337       6.5433522       6.4879212       6.4631656       6.5247352       6.5447045       6.4999021       6.4936900       6.4799963       6.5838051       6.7160257       6.8430565       6.8926189
      47       6.7417967       6.2845431       6.0034555       5.8899283       5.7816038       5.6715627       5.5889889       5.6925532       5.8111607       5.8338581       5.8411758       5.8774249       5.9650445       6.0188248       6.1127676       6.1181556
      48       6.6304700       6.1279136       5.8953093       5.8973878       5.8598139       5.6928501       5.5823432       5.7043254       5.8253044       5.8883402       5.8653002       5.8965964       5.9331035       6.0162433       6.1133289       6.0941449
      49       6.9288197       6.3955886       6.2123989       6.1996784       6.1543234       6.0602898       6.0186379       6.0137899       6.0818150       6.1183474       6.1112707       6.1506308       6.1427537       6.1364302       6.2699053       6.3241983
