#1:ConfigNumber 2:X2 3:PL 3:BBE NUMCOLORS 3
1033 99.067 93.887 91.0726 88.8132 88.5066 86.3464 82.2956 81.1117 82.2956 86.3464 88.5066 88.8132 91.0726 93.887 99.067 27.9307 
1034 97.9854 92.3999 89.9535 87.2443 86.8024 84.6213 80.8097 79.2714 80.8097 84.6213 86.8024 87.2443 89.9535 92.3999 97.9854 27.6499 
1035 101 95.4784 92.4367 88.8648 88.4309 86.8579 83.189 81.1215 83.189 86.8579 88.4309 88.8648 92.4367 95.4784 101 27.9323 
1036 99.3029 93.4379 90.1679 86.8594 86.4618 85.1682 81.8626 78.7363 81.8626 85.1682 86.4618 86.8594 90.1679 93.4379 99.3029 27.6519 
1037 97.1107 91.3796 87.9099 84.7039 83.7426 82.3685 80.0438 76.3717 80.0438 82.3685 83.7426 84.7039 87.9099 91.3796 97.1107 27.3507 
1038 95.718 89.6727 85.7294 83.1637 81.2514 79.7047 77.3353 74.9633 77.3353 79.7047 81.2514 83.1637 85.7294 89.6727 95.718 27.0684 
1039 95.0343 89.7489 85.5404 83.2173 81.4415 80.3788 78.8082 77.3699 78.8082 80.3788 81.4415 83.2173 85.5404 89.7489 95.0343 27.1342 
1040 98.9321 93.1096 88.6122 86.7248 84.06 83.7214 81.59 80.6349 81.59 83.7214 84.06 86.7248 88.6122 93.1096 98.9321 27.6949 
1041 97.7438 91.7693 88.0423 85.4789 83.326 81.3664 79.6395 79.3511 79.6395 81.3664 83.326 85.4789 88.0423 91.7693 97.7438 27.4889 
1042 96.1653 90.6569 88.2282 84.8027 82.9202 79.8671 78.1222 78.8057 78.1222 79.8671 82.9202 84.8027 88.2282 90.6569 96.1653 27.2672 
1043 94.0054 88.0804 85.5653 83.284 81.0105 77.7382 77.2009 77.5334 77.2009 77.7382 81.0105 83.284 85.5653 88.0804 94.0054 26.8866 
1044 96.7699 90.8935 89.0297 86.8406 84.4154 81.3298 80.4712 80.6778 80.4712 81.3298 84.4154 86.8406 89.0297 90.8935 96.7699 27.4546 
1045 95.8336 89.2557 87.8851 85.9753 82.9928 79.8476 79.157 79.2105 79.157 79.8476 82.9928 85.9753 87.8851 89.2557 95.8336 27.2649 
1046 95.5208 89.58 87.3887 85.1847 81.9675 79.1927 78.7746 78.7817 78.7746 79.1927 81.9675 85.1847 87.3887 89.58 95.5208 27.2832 
1047 91.272 85.9031 83.6727 81.4756 77.7131 75.2314 74.8108 74.1809 74.8108 75.2314 77.7131 81.4756 83.6727 85.9031 91.272 26.5802 
1048 93.0375 87.2838 85.3606 83.4665 79.991 77.9612 77.6051 77.0513 77.6051 77.9612 79.991 83.4665 85.3606 87.2838 93.0375 26.9129 
1049 92.0121 86.2253 84.2604 82.2337 79.7301 77.8632 77.5205 76.6802 77.5205 77.8632 79.7301 82.2337 84.2604 86.2253 92.0121 26.9184 
1050 89.7892 84.4046 81.696 80.5604 79.3146 77.6448 77.5546 76.3478 77.5546 77.6448 79.3146 80.5604 81.696 84.4046 89.7892 26.7394 
1051 86.4449 81.5927 79.0145 77.8298 76.2355 74.4861 74.2353 73.0614 74.2353 74.4861 76.2355 77.8298 79.0145 81.5927 86.4449 26.1864 
